Year|Paper ID|Paper class
2017|Bang2017|Evaluation Research
2017|Bhat2017|Proposal of Solution
2017|Butting2017|Evaluation Research
2017|Calinescu2017|Validation Research
2017|Camara2017|Proposal of Solution,Validation Research
2017|Czepa2017|Evaluation Research
2017|Digkas2017|Evaluation Research
2017|Filho2017|Proposal of Solution,Validation Research
2017|Gesvindr2017|Proposal of Solution
2017|Giaimo2017a|Proposal of Solution
2017|Gorton2017|Validation Research
2017|Hammad2017|Evaluation Research
2017|Haselboeck2017|Evaluation Research
2017|Hassan2017|Proposal of Solution
2017|Klock2017|Evaluation Research
2017|Kugele2017|Proposal of Solution,Validation Research
2017|Maartensson2017|Evaluation Research
2017|Muccini2017|Proposal of Solution
2017|Nguyen2017|Proposal of Solution
2017|Paterson2017|Evaluation Research
2017|Rostami2017|Evaluation Research
2017|Roy2017|Validation Research,Evaluation Research,Proposal of Solution,Personal Experience Papers
2017|Santos2017|Evaluation Research
2017|Sharaf2017|Proposal of Solution,Validation Research
2017|Xu2017|Proposal of Solution
2017|Yang2017|Evaluation Research
2017|Zalewski2017|Evaluation Research
2017|Zheng2017|Evaluation Research
2018|Alkhabbas2018|Proposal of Solution,Validation Research
2018|Alshuqayran2018|Validation Research
2018|Antonino2018|Evaluation Research
2018|Apel2018|Proposal of Solution,Validation Research
2018|Arcaini2018|Validation Research
2018|Arcelli2018|Evaluation Research
2018|Artac2018|Proposal of Solution,Evaluation Research
2018|Avritzer2018|Proposal of Solution
2018|Bhat2018|Proposal of Solution,Validation Research
2018|Buchgeher2018|Proposal of Solution,Validation Research
2018|Chang2018|Validation Research
2018|Cortellessa2018|Evaluation Research
2018|Eismann2018|Proposal of Solution
2018|Francesco2018|Evaluation Research
2018|Garcia2018|Evaluation Research
2018|Gupta2018|Validation Research
2018|Heijenk2018|Evaluation Research
2018|Koziolek2018|Evaluation Research
2018|Kramer2018|Validation Research,Proposal of Solution
2018|Kugele2018|Validation Research,Proposal of Solution,Personal Experience Papers
2018|Le2018|Evaluation Research
2018|Liu2018|Proposal of Solution,Validation Research
2018|Martini2018|Evaluation Research
2018|Oquendo2018|Proposal of Solution,Validation Research
2018|Power2018|Evaluation Research
2018|Schneider2018|Evaluation Research
2018|Shahbazian2018|Evaluation Research
2018|Soliman2018|Evaluation Research
2018|Spray2018|Proposal of Solution
2018|Szvetits2018|Philosophical Papers
2018|Tenbergen2018|Evaluation Research
2018|Tuma2018|Validation Research
2018|Weyns2018|Proposal of Solution
2018|Yasaweerasinghelage2018|Evaluation Research
2019|Alam2019|Evaluation Research
2019|Arcelli2019|Proposal of Solution
2019|Castellanos2019|Evaluation Research
2019|Dajsuren2019|Evaluation Research
2019|Eismann2019|Evaluation Research
2019|Gerking2019|Proposal of Solution,Validation Research
2019|Gonzalez2019|Evaluation Research
2019|Jahic2019a|Evaluation Research
2019|Jahic2019|Proposal of Solution
2019|Maartensson2019|Evaluation Research
2019|Malakuti2019|Proposal of Solution,Validation Research
2019|Malki2019|Evaluation Research
2019|Mattos2019|Evaluation Research
2019|Mayrhofer2019|Proposal of Solution,Validation Research
2019|Musil2019|Proposal of Solution,Validation Research
2019|Ntentos2019|Evaluation Research
2019|Nunes2019|Proposal of Solution,Validation Research
2019|Pigazzini2019a|Proposal of Solution
2019|Power2019|Evaluation Research
2019|Rademacher2019|Evaluation Research
2019|Sanctis2019|Validation Research
2019|Seifermann2019|Evaluation Research
2019|Sion2019|Proposal of Solution,Validation Research
2019|Soezer2019|Proposal of Solution,Validation Research
2019|Telschig2019|Proposal of Solution,Validation Research
2019|Tian2019|Evaluation Research
2019|Tuma2019|Proposal of Solution
2019|Ullah2019|Validation Research
2019|Verdecchia2019|Proposal of Solution
2019|Waegemann2019|Proposal of Solution
2019|Weber2019|Evaluation Research
2019|Wohlrab2019a|Evaluation Research,Proposal of Solution
2019|Wohlrab2019|Evaluation Research
2019|Yasaweerasinghelage2019|Evaluation Research
2019|Zhang2019|Evaluation Research
2020|Alkhabbas2020|Proposal of Solution,Validation Research
2020|Almeida2020|Proposal of Solution
2020|Baresi2020|Validation Research
2020|Brito2020|Validation Research,Evaluation Research
2020|Bucaioni2020|Evaluation Research
2020|Camara2020|Proposal of Solution,Validation Research
2020|Caporuscio2020a|Proposal of Solution
2020|Caporuscio2020b|Evaluation Research
2020|Cardoso2020|Validation Research,Proposal of Solution
2020|Chondamrongkul2020|Proposal of Solution
2020|Dias2020|Proposal of Solution,Validation Research
2020|Giaimo2020|Evaluation Research
2020|Islam2020|Proposal of Solution
2020|Jasser2020|Evaluation Research
2020|Koziolek2020|Evaluation Research
2020|Kugele2020|Evaluation Research
2020|Matias2020|Proposal of Solution
2020|Mazkatli2020|Proposal of Solution
2020|Mendonca2020|Evaluation Research,Proposal of Solution,Validation Research
2020|Mizutani2020|Proposal of Solution,Validation Research
2020|Moghaddam2020|Proposal of Solution
2020|Ntentos2020|Evaluation Research
2020|Sanctis2020|Proposal of Solution,Validation Research
2020|Santos2020|Proposal of Solution,Validation Research
2020|Selmadji2020|Evaluation Research
2020|Tran2020|Evaluation Research
2020|Verdecchia2020|Proposal of Solution,Validation Research
2020|Wang2020|Evaluation Research
2020|Werle2020|Proposal of Solution,Validation Research
2020|Zhang2020|Evaluation Research
2020|Zhao2020|Proposal of Solution,Validation Research,Evaluation Research
2021|Bonfanti2021|Evaluation Research
2021|Bucaioni2021|Proposal of Solution
2021|Cadavid2021|Evaluation Research
2021|Camara2021|Proposal of Solution
2021|Caporuscio2021|Proposal of Solution,Validation Research
2021|Garcia2021|Evaluation Research
2021|Genfer2021|Evaluation Research
2021|Keim2021|Evaluation Research
2021|Knoche2021|Evaluation Research,Proposal of Solution
2021|Koziolek2021|Evaluation Research
2021|Le2021|Evaluation Research
2021|Lo2021|Proposal of Solution
2021|Monschein2021|Evaluation Research
2021|Ntentos2021|Proposal of Solution,Validation Research
2021|Olsson2021|Validation Research
2021|Pinciroli2021|Proposal of Solution,Validation Research
2021|Raatikainen2021|Evaluation Research
2021|Shabelnyk2021|Proposal of Solution
2021|Shokri2021|Proposal of Solution,Validation Research,Evaluation Research
2021|Sinkala2021|Evaluation Research
2021|Sodhi2021|Proposal of Solution
2021|Soliman2021a|Evaluation Research
2021|Soliman2021|Evaluation Research
2021|Woods2021|Validation Research
2021|Xu2021|Proposal of Solution
